Menge;Bezeichnung;Typ;Bemerkungen;Bild;Link;X;Y
0;"Lˆtdraht Fluitin S 1532  0.75mm""";Lˆtzinn;(Schublade);;;;
6;1-fach OP  LF356;LF356;Feldeffekteingangsstufen;;;10;10
12;1-fach OP  TAA 765A;TAA 765A;nicht mehr lieferbar;;;20;21
6;1-fach OP  TLC 271;TLC 271;f¸År unsymetrische Spannungsversorgung;;;123;456
1;2-fach OP  1458P;1458P;PrÅ¸fungsplatine Arbeitsprobe ;;;10;10
6;2-fach OP  TL 082 CP;TL 082 CP;Feldeffekteingangsstufen;;;;
1;2-fach OP  TLC 272;TLC 272;;;;;
9;2-fach OP  UA747;UA747;;;;;
13;4-fach OP  LM324N;LM324N;;;;;
7;4-fach OP  LM339N;LM339N;Spannungskomparator;;;;
14;4-fach OP  LM348N;LM348N;;;;;
5;4-fach OP  LM3900;LM3900;;;;;
14;4-fach OP  TL084;TL084;Feldeffekteingangsstufen;;;;
9;7 Segmentanzeige  TDSR5110;TDSR5110;;;;;
2;7-Segmentanzeige  HDSP 3403;HDSP 3403;;;;;
12;7-Segmentanzeige  hp5082-7650;hp5082-7650;;;;;
0;7-Segmentanzeige  MAN8910;MAN8910;;;;;
16;7-Segmentanzeige  MAN8940;MAN8940;gemeinsame Kathode;;;;
15;7-Segmentanzeige  TDSR5150;TDSR5150;gemeinsame Anode;;;;
3;7-Segmentanzeige  TDSR5160;TDSR5160;gemeinsame Kathode;;;;
1;A/D Wandler  7106;7106;fÅ¸r 3,5 stellige LCD Anzeige;;;;
3;A/D Wandler  7107;7107;fÅ¸r 3,5 stellige LED Anzeige;;;;
8;Abgreifklemme rot  AK 2 S;AK 2 S;Schublade;;;;
9;Abgreifklemme schwarz  AK 2 S;AK 2 S;Schublade;;;;
38;Abstandshalter/Trans  TO-18;M1802D;;;;;
143;Abstandshalter/Trans  TO-5;M518-01N;;;;;
326;AbstandshÅlsen  10mm;10mm;Aussen 5,0mm Innen 3,4mm;;;;
13;AbstandshÅlsen  5mm;5mm;Aussen 5,0mm Innen 3,4mm;;;;
34;Anschluﬂklemme  2 pol. Reihbar;2 pol. reihbar;;;;;
16;Anschluﬂklemmen  6 pol. Reihbar;6 pol. reihbar;;;;;
54;Anschluﬂklemmen  MKDS 3/2-5.08;MKDS 3/2-5.08;2 pol. reihbar;;;;
8;Bandleitungstecker  CKV 34-023-L00;CKV 34-023-L00;;;;;
2;Batterie  V625 PX 1.35V;V625 PX 1.35V;fÅ¸r Metrix-Meﬂger‰t (Ausgabe);;;;
1;Batterieanschlu·  9V;440005P;;;;;
0;BaugruppenTr‰ger  2.360.008.9;2.360.008.9;Schublade2;;;;
33;Befestigungsmutter  M10;M10;;;;;
105;Befestigungsmutter  M6*0.75;M6*0.75;;;;;
0;Befestigungsmutter  M7;M7;;;;;
3;BNC-Buchse  UG 1094/u;UG 1094/u;;;;;
2;BNC-Stecker  UG88/US  50R;UG88/US  50R;;;;;
1;BuchseKFV7107P  7pol.;7pol.;;;;;
1;Buchsenleiste  36pol/einreihig;36pol/einreihig;;;;;
1;Buchsenstecker  A-DF09LL/Z;A-DF09LL/Z;;;;;
11;Buchsenstecker  A-DF25LL/Z;A-DF25LL/Z;;;;;
2;Bus Controler  8288;8288;;;;;
10;BÅ¸schelstecker 4mm  rot;;Schublade;;;;
26;BÅ¸schelstecker 4mm  schwarz;BöELA30K;Schublade;;;;
5;Cinchbuchse  BTO-1;BTO-1;;;;;
1;CMOS  14560;14560;;;;;
6;CMOS  4001;4001;;;;;
2;CMOS  4002;4002;;;;;
1;CMOS  4007;4007;;;;;
4;CMOS  40106;40106;;;;;
5;CMOS  4011;4011;;;;;
4;CMOS  4012;4012;;;;;
5;CMOS  4013;4013;;;;;
2;CMOS  4015;4015;;;;;
3;CMOS  4016;4016;;;;;
5;CMOS  4017;4017;;;;;
3;CMOS  40193;40193;;;;;
2;CMOS  4020;4020;;;;;
5;CMOS  4024;4024;;;;;
3;CMOS  4027;4027;;;;;
6;CMOS  4028;4028;;;;;
8;CMOS  4030;4030;;;;;
7;CMOS  4040;4040;;;;;
